PATHID	pval	k	K	padj	PATHNAME	genes
R-MMU-556833	1.3515086886677e-09	7	395	1.6569496523066e-06	Metabolism of lipids	Asah1 Sptlc2 Hadha Cpt1a Acox1 Aldh3b1 Kdsr
R-MMU-428157	9.0865762323671e-08	4	64	5.57007123044103e-05	Sphingolipid metabolism	Asah1 Sptlc2 Aldh3b1 Kdsr
mmu_M00099	1.97343410918116e-07	3	17	8.06476739285369e-05	Sphingosine biosynthesis	Sptlc2 Kdsr Asah1
R-MMU-1660661	1.2976585172179e-06	3	31	0.000350969798291738	Sphingolipid de novo biosynthesis	Sptlc2 Aldh3b1 Kdsr
mmu00410	1.43136133071671e-06	3	32	0.000350969798291738	beta-Alanine metabolism	Acox1 Aldh3b1 Hadha
mmu00600	4.96137906439535e-06	3	48	0.000983962967780393	Sphingolipid metabolism	Asah1 Sptlc2 Kdsr
mmu00071	5.61805935926815e-06	3	50	0.000983962967780393	Fatty acid degradation	Acox1 Cpt1a Hadha
mmu01212	1.02734418975071e-05	3	61	0.00157440497079296	Fatty acid metabolism	Acox1 Cpt1a Hadha
mmu_M00087	3.88366878771391e-05	2	13	0.00476137793373725	beta-Oxidation	Acox1 Hadha
mmu_M00094	3.88366878771391e-05	2	13	0.00476137793373725	Ceramide biosynthesis	Sptlc2 Kdsr
R-MMU-8978868	6.72850560493906e-05	3	114	0.00749922533786844	Fatty acid metabolism	Hadha Cpt1a Acox1
mmu00640	0.000260856393178018	2	33	0.0266508281696875	Propanoate metabolism	Acox1 Hadha
